LON,LAT,EDO,CLAVE,ESTACION,abr-22
-97.819167,17.746389,OAX,FOYOX,"San Francisco Yosocuta, Oax.",24.1
-97.776111,17.806667,OAX,HDLOX,"Huajuapan de LeÛn, Oax.",29.2
-97.776111,17.806667,OAX,HLOOX,"Observatorio de Huajuapan de LeÛn, Oax.",21.3
-96.133889,15.748889,OAX,HUATULCOmar,"Huatulco, Oax. SEMAR*",0.3
-95.053889,16.503611,OAX,IXTALTEPEC,"Ixtaltepec, Oax. SGT*",0
-95.1,16.583333,OAX,IXTOX,"Ixtepec, Oax.",0
-96.2,17.866667,OAX,JACOX,"Jacatepec, Oax.",92.5
-95.397778,16.445556,OAX,JDMOX,"Presidente Benito Ju·rez, Oax.",0
-95.2,16.6,OAX,KM1OX,"km 33+190, Oax.",0
-95.716667,16.416667,OAX,KM2OX,"km 51+740, Oax.",0
-96.905556,18.210556,OAX,LCAOX,"La Carbonera, Oax.",5.9
-95.3,16.4,OAX,LPIOX,"Las Pilas, Oax.",0
-97.533056,17.233056,OAX,MAPOX,"Magdalena PeÒasco, Oax.",0
-95.483333,17.45,OAX,MAROX,"MarÌa Lombardo, Oax.",30.5
-96.579722,16.344167,OAX,MIAHUATLAN,"Miahuatl·n, Oax. SMN*",26.8
-97.249167,17.436667,OAX,NOCHISTLAN,"Nochistl·n, Oax. SMN*",4.8
-96.733333,17.066667,OAX,OACOX,"Oaxaca Centro, Oax.",41
-96.7,17.001389,OAX,OAOOX,"Observatorio de Aeropuerto Oaxaca, Oax.",76
-96.083333,18.166667,OAX,PAPOX,"Papaloapan, Oax.",80.1
-96.716667,17.072778,OAX,PIAOX,"Organismo de Cuenca PacÌfico Sur PIAE, Oax.",41.3
-96.483333,15.666667,OAX,PTAOX,"Observatorio de Puerto ¡ngel, Oax.",2.2
-95.481389,16.585278,OAX,RHOOX,"RÌo Hondo, Oax.",0
-95.916667,17.733333,OAX,RMLOX,"RÌo Manso Lalana, Oax.",44.5
-97.725,16.102778,OAX,RVEOX,"RÌo Verde, Oax.",0
-97.839444,17.156667,OAX,SACOX,"San AndrÈs Chicahuaxtla, Oax.",27.1
-95.165,16.283056,OAX,SBLOX,"San Blas Atempa, Oax.",0
-97.895,17.905833,OAX,SCHOX,"Santiago Chilixtlahuaca, Oax.",9.4
-96.55,17.266667,OAX,SCIOX,"Ixtepeji, Oax.",0
-96.533333,17.883333,OAX,SFUOX,"San Felipe Usila, Oax.",112
-97.626667,18.1,OAX,SJNOX,"San Juan Nochixtl·n, Oax.",44
-98.1425,17.501389,OAX,SLAOX,"Silacayo·pam, Oax.",39.1
-96.453611,17.1175,OAX,SMAOX,"San Antonio Cuajimoloyas, Oax.",18.1
-97.680278,18.188611,OAX,SNCOX,"Santiago Chazumba, Oax.",28.1
-96.55,18.05,OAX,STDOX,"Santo Domingo, Oax.",43.3
-97.536667,17.726111,OAX,STTOX,"Santiago Teotongo, Oax.",20.1
-95.2,16.3,OAX,TEHOX,"Tehuantepec, Oax.",0
-96.412222,18.232222,OAX,TEMOX,"Presidente Alem·n, Oax.",41.4
-97.424444,17.550556,OAX,TEPOX,"San Juan Teposcolula, Oax.",48.4
-97.680278,17.267222,OAX,TLXOX,"Heroica Ciudad de Tlaxiaco, Oax.",0
-96.544722,15.739167,OAX,TNMOX,"Tonameca, Oax.",21.7
-97.808333,17.654444,OAX,TSLOX,"Heroica Villa Tezoatl·n de Segura y Luna, Oax.",56.5
-96.133333,18.083333,OAX,TUXOX,"Tuxtepec, Oax.",141.7
-96.435278,17.933056,OAX,UCFOX,"Usila CFE, Oax.",54.8
-94.833333,16.45,OAX,UHGOX,"UniÛn Hidalgo, Oax.",0
-96.3,17.776389,OAX,VANOX,"Valle Nacional, Oax.",139.2
-97.826111,17.724444,OAX,YOSOX,"Yosocuta, Oax.",15.2
-95.93,17.15,OAX,ZACOX,"Zacatepec, Oax.",73.2
-98.389444,17.755278,OAX,ZALOX,"Zapotitl·n Lagunas, Oax.",45
-97.818056,17.889722,OAX,ZAPOX,"Zapotitl·n Palmas, Oax.",14
-97.418056,19.45,PUE,ACHPB,"Alchichilca, Pue.",0.1
-97.934167,19.0625,PUE,ACJPB,"Acajete, Pue.",72.5
-98.055,18.277222,PUE,ADOPB,"Acatl·n de Osorio, Pue.",34.7
-98.135833,18.9425,PUE,AFRPB,"¡fricam, Pue.",61.3
-97.920833,18.854167,PUE,AHAPB,"Ahuatepec, Pue.",78
-98.148056,20.033056,PUE,AHUPB,"Ahuazontepec, Pue.",43.5
-97.845,20.406944,PUE,APAPB,"Apapantilla, Pue.",32.6
-98.420833,18.921111,PUE,ATXPB,"Atlixco, Pue.",73.1
-97.881111,20.385833,PUE,AVCPB,"¡vila Camacho, Pue.",55
-97.503333,19.961389,PUE,BAIPB,"Buenos Aires CFE, Pue.",127.3
-98.108611,18.9125,PUE,BDDPB,"Manuel ¡vila Camacho, Pue.",27.1
-97.441667,18.987222,PUE,CDSPB,"Ciudad Serd·n, Pue.",27
-97.958333,18.968889,PUE,CEMPB,"Cemex, Pue.",42
-98.579167,18.516111,PUE,CHIPB,"Chietla, Pue.",16.8
-98.318056,19.068611,PUE,CHLPB,"Cholula, Pue.",46
-98.567778,18.109722,PUE,CHSPB,"Chila de la Sal, Pue.",17.3
-98.198611,19.022778,PUE,CNAPB,"Conagua, Pue.",54.5
-98.049722,19.743333,PUE,CNGPB,"Chignahuapan, Pue.",47.4
-98.164722,18.612778,PUE,COAPB,"Coatzingo, Pue.",5.7
-98.059444,19.092778,PUE,CPLPB,"Capulac, Pue.",123.1
-97.516667,20.033333,PUE,CTZPB,"Cuetzalan del Progreso, Pue.",219.5
-98.275556,18.966111,PUE,ECHPB,"EcheverrÌa, Pue.",63.5
-98.456111,19.101111,PUE,HJTPB,"Huejotzingo, Pue.",67.1
-98.540278,18.772222,PUE,HQCPB,"Huaquechula, Pue.",28
-98.050833,20.176389,PUE,HUAPB,"Huauchinango, Pue.",61.9
-97.815833,19.621667,PUE,IXTPB,"Ixtacamaxtitl·n, Pue.",36.4
-98.466389,18.610833,PUE,IZMPB,"Iz˙car de Matamoros, Pue.",18
-98.231111,19.010556,PUE,MAYPB,"Mayorazgo 21 Poniente, Pue.",35.6
-97.850278,20.733056,PUE,MTLPB,"Metlaltoyuca, Pue.",126
-96.781389,18.360278,PUE,NARPB,"Naranjastitla, Pue.",74.2
-98.000556,20.216667,PUE,NNEPB,"Necaxa, Pue.",89.6
-97.533333,19.7,PUE,OYAPB,"Oyameles, Pue.",17
-98.156667,20.2775,PUE,PAHUATLAN,"Pahuatl·n de Valle, Pue. SGT*",73
-97.251389,18.918056,PUE,PCRPB,"Paso Carretas, Pue.",23
-98.264722,18.2,PUE,PIXPB,"Piaxtla, Pue.",28.1
-97.702778,20.445833,PUE,PTEPALOMAS,"Puente Palomas, Pue. SGT*",35.8
-97.883333,20.233333,PUE,PTLPB,"Patla, Pue.",86
-98.166667,19.05,PUE,PUEBLAob,"Observatorio de Puebla, Pue. SMN*",44.6
-98.166667,19.05,PUE,PUOPB,"Observatorio de Puebla, Pue.",39.8
-97.616667,19.25,PUE,QUIPB,"Quimixtl·n, Pue.",29.2
-97.401667,20.116111,PUE,RNAPB,"Rancho Nuevo, Pue.",59.1
-98.22,19.113056,PUE,SCRPB,"San CristÛbal Caleras, Pue.",5.4
-97.208333,20.131389,PUE,SJAPB,"San JosÈ Acateno, Pue.",6.2
-97.91,18.735,PUE,SMCPB,"San Miguel Canoa, Pue.",25
-98.4175,19.284167,PUE,SMTPB,"San MartÌn Texmelucan, Pue.",69.9
-97.446667,19.960833,PUE,SOLPB,"La Soledad, Pue.",57.1
-98.582222,19.330278,PUE,SRTPB,"Santa Rita Tlahuapan, Pue.",56
-97.486389,19.952778,PUE,STLPB,"Sontalalco CFE, Pue.",140.3
-97.7925,20.004444,PUE,TDRPB,"Tepango de RodrÌguez, Pue.",183
-97.7525,18.878889,PUE,TECPB,"Tecamachalco, Pue.",16.6
-97.395556,18.479167,PUE,TEHPB,"Tehuac·n, Pue.",6
-98.777222,18.451944,PUE,TELPB,"Teotlalco, Pue.",8.1
-97.805833,19.829444,PUE,TEOPB,"Tetela de Ocampo, Pue.",38.5
-97.9475,20.21,PUE,TEPPB,"Tepexic, Pue.",80.1
-97.390556,19.887778,PUE,TEZIUTLAN,"Teziutl·n, Pue. SMN*",71.2
-97.359722,19.815278,PUE,TEZPB,"Teziutl·n, Pue.",19
-96.849722,18.405,PUE,TLPPB,"Tlacotepec de DÌaz, Pue.",79
-98.040556,20.374167,PUE,TLXPB,"Tlaxco, Pue.",10
-97.491944,19.489167,PUE,TPYPB,"Tepeyahualco, Pue.",31.1
-96.861389,18.483611,PUE,TYAPB,"Tepeyac, Pue.",22.8
-98.050833,20.176389,PUE,UDSPB,"Universidad de la Sierra, Pue.",71.7
-97.720833,18.865556,PUE,UTTPB,"Universidad TecnolÛgica Tecamachalco, Pue. SMN*",17
-97.675833,20.510278,PUE,VENPB,"Venustiano Carranza, Pue.",5.5
-97.956944,20.277222,PUE,XDJPB,"Xicotepec de Ju·rez, Pue.",80.3
-97.585,19.859722,PUE,ZCPPB,"Zacapoaxtla, Pue.",19
-97.011389,18.332222,PUE,ZOQPB,"Zoquitl·n, Pue.",7
-97.832778,20.178611,PUE,ZRGPB,"Zaragoza, Pue.",27.5
-100.412222,20.504167,QRO,BATQT,"El Bat·n, Qro.",11
-100.080278,20.418611,QRO,CNSQT,"ConstituciÛn de 1917, Qro.",0
-100.455833,20.693333,QRO,ELARENAL,"El Arenal, Qro. SGT*",15.4
-100.283056,20.389444,QRO,HUIQT,"Huimilpan, Qro. SMN*",3.4
-99.9625,20.198611,QRO,IDFQT,"San Ildefonso, Qro.",6.1
-99.479722,21.230278,QRO,JLPQT,"Jalpan, Qro.",28.5
-100,20.3625,QRO,SJSQT,"San JosÈ, Qro.",0
-86.886944,21.142778,QROO,CANCUN_ESIME,"Canc˙n Centro, Q. Roo. SMN*",59.8
-86.820278,21.156667,QROO,CANQR,"Canc˙n, Q. Roo.",71.7
-88.3275,18.500556,QROO,CHETUMALob,"Observatorio de Chetumal, Q. Roo. SMN*",11.4
-87.300556,18.755556,QROO,CHINCHORROmar,"Banco Chinchorro, Q. Roo. SEMAR*",18.8
-88.3275,18.500556,QROO,CHOQR,"Observatorio de Chetumal, Q. Roo.",15.3
-86.775833,21.074444,QROO,CNCQR,"Canc˙n Radar, Q. Roo. SMN*",41.3
-86.906944,20.476944,QROO,CO2QR,"Cozumel, Q. Roo. SMN*",30.2
-86.946111,20.51,QROO,COZQR,"Cozumel, Q. Roo.",56.1
-88.045,19.575556,QROO,FCRQR,"Observatorio de Felipe Carrillo Puerto, Q. Roo.",103.8
-88.703611,19.752222,QROO,JMORELOS,"JosÈ MarÌa Morelos, Q. Roo. SMN*",86.6
-88.880278,17.896944,QROO,LAUNION,"La UniÛn, Q. Roo. SMN*",41.6
-88.923889,18.455278,QROO,NICOLASBRAVO,"Nicol·s Bravo, Q. Roo. SMN*",19
-86.807222,21.185556,QROO,PTOJUAREZmar,"Puerto Ju·rez, Q. Roo. SEMAR*",80.5
-106.654167,24.047222,SIN,ACTSI,"Acatit·n, Sin.",0
-109.183333,25.916667,SIN,AHMSI,"Ahome, Sin.",0
-107.383333,25.090278,SIN,AL2SI,"El Varejonal hidromÈtrica, Sin.",0
-107.388333,25.101389,SIN,ALMSI,"Adolfo LÛpez Mateos, Sin.",0
-108.7,25.7,SIN,ARCSI,"Adolfo RuÌz CortÌnes, Sin.",0
-107.466667,25.033333,SIN,AWSSI,"Andrew Weiss, Sin.",0
-107.5375,25.333333,SIN,BDRSI,"Badiraguato, Sin.",0
-108.329167,26.736111,SIN,CHXSI,"Observatorio de Choix, Sin.",0
-107.4,24.816667,SIN,CLCSI,"Culiac·n, Sin.",0
-108.065556,25.484722,SIN,EBLSI,"Lic. Eustaquio Buelna, Sin.",0
-108.616667,26.433333,SIN,EFTSI,"El Fuerte, Sin.",0
-108.316667,26.083333,SIN,GB2SI,"El Sabinal hidromÈtrica, Sin.",0
-108.3275,26.103056,SIN,GBESI,"Ing. Guillermo Blake Aguilar, Sin.",0
-107.911944,25.855278,SIN,GD2SI,"Bacurato hidromÈtrica de Gustavo Diaz Ord·z, Sin.",0
-107.911111,25.856667,SIN,GDOSI,"Gustavo DÌaz Ordaz, Sin.",0
-108.091667,25.469444,SIN,GMCSI,"Guam˙chil, Sin.",0
-108.466667,25.716667,SIN,GSVSI,"Guasave, Sin.",0
-109.333333,25.983333,SIN,HDZSI,"Higuera de Zaragoza, Sin.",0
-107.059444,24.753611,SIN,JGRSI,"Juan Guerrero Alcocer, Sin.",0
-106.807222,24.571667,SIN,JLPSI,"JosÈ LÛpez Portillo, Sin.",0
-108.013889,25.9,SIN,JNASI,"Jaina, Sin.",0
-108.7025,26.426944,SIN,JORSI,"Josefa Ortiz de DomÌnguez, Sin.",0
-106.9,23.916667,SIN,LCRSI,"La Cruz, Sin.",0
-108.367778,26.844722,SIN,LDCSI,"Luis Donaldo Colosio, Sin.",0
-109,25.8,SIN,MCHSI,"Los Mochis, Sin.",0
-106.4,23.233333,SIN,MZTSI,"Observatorio de Mazatl·n, Sin.",0
-107.440556,24.634722,SIN,OBSSI,"Observatorio de Culiac·n, Sin.",0
-108.58,26.509722,SIN,PMHSI,"Miguel Hidalgo, Sin.",0
-106.466667,23.5625,SIN,QLTSI,"Quelite, Sin.",0
-107.755833,25.124722,SIN,RAVSI,"EstaciÛn Rancho Viejo, Sin.",0
-105.85,22.983333,SIN,RSRSI,"Rosario, Sin.",0
-106.952778,24.484722,SIN,SCRSI,"Santa Cruz, Sin.",0
-108.779167,26.073611,SIN,SFRSI,"Sufragio, Sin.",0
-107.8425,25.486667,SIN,SJNSI,"San Juan, Sin.",0
-107.1,24.45,SIN,SLRSI,"San Lorenzo, Sin.",0
-106.695833,24.121944,SIN,SLTSI,"Ing. Aurelio Benassini VizcaÌno, Sin.",0
-107.151389,24.815,SIN,SNLSI,"Sanalona, Sin.",0
-106.25,23.35,SIN,SQRSI,"Siqueros, Sin.",0
-109.070278,25.590833,SIN,TOPOLOBAMPOmar,"Topolobampo, Sin. SEMAR*",0
-105.846944,23.088333,SIN,TORSI,"Las Tortugas, Sin.",0
-107.059722,24.7475,SIN,VINSI,"Vinoramas, Sin.",0
-108.358611,25.739167,SIN,ZOPSI,"El Zopilote, Sin.",0
-98.558333,21.972222,SLP,AJTSL,"Las Adjuntas, S.L.P.",12.1
-98.955833,21.748889,SLP,BLMSL,"Ballesmi, S.L.P.",29.5
-100.021667,21.936111,SLP,CDFERNANDEZ,"Ciudad Fern·ndez, S.L.P. SMN*",12.4
-99.016667,21.983333,SLP,CDVSL,"Ciudad Valles, S.L.P.",21
-100.283056,22.431667,SLP,CTSSL,"Cerritos, S.L.P.",41
-99.239444,21.906944,SLP,GANSL,"Gallinas, S.L.P.",39.2
-100.940278,21.811111,SLP,GOGORRON,"GogorrÛn, S.L.P. SMN*",0
-100.820556,21.88,SLP,IVGSL,"ValentÌn Gama, S.L.P.",12
-100.665833,23.6475,SLP,MA2SL,"Matehuala, S.L.P. SMN*",19.2
-100.642778,23.656944,SLP,MATSL,"Matehuala, S.L.P.",11.9
-99.159444,22.12,SLP,MICSL,"Micos, S.L.P.",48
-98.8,21.333333,SLP,MTPSL,"Observatorio de Matlapa, S.L.P.",117.2
-99.32,22.523333,SLP,NRJSL,"Naranjos, S.L.P.",70.7
-100.762222,21.849722,SLP,OCTSL,"Ojo Caliente, S.L.P.",12
-99.830556,21.651111,SLP,PMYSL,"Pedro Montoya, S.L.P.",14.5
-98.939722,21.847222,SLP,PUJSL,"El Pujal, S.L.P.",29.1
-98.888611,21.425,SLP,RQTSL,"Requetemu, S.L.P.",104.8
-99.995,21.931389,SLP,RVDSL,"Observatorio de RÌo Verde, S.L.P.",6.2
-101.683333,22.633333,SLP,SDHSL,"Salinas, S.L.P.",9.3
-101,22.2,SLP,SGRSL,"Soledad Graciano, S.L.P.",7
-101.019167,22.148056,SLP,SLPSL,"Observatorio de San Luis PotosÌ, S.L.P.",10.9
-99.055833,22.02,SLP,STRSL,"Santa Rosa, S.L.P.",47.5
-98.617222,21.692778,SLP,SVTSL,"San Vicente, S.L.P.",96.7
-99.146111,21.822222,SLP,TANCHACHIN,"TanchachÌn, S.L.P. SGT*",82.6
-98.857222,21.246667,SLP,TBLSL,"Tierra Blanca, S.L.P.",218.6
-98.773333,22.003611,SLP,TMISL,"Observatorio de TamuÌn, S.L.P.",10.7
-98.758889,21.241111,SLP,TMTSL,"Temamatla, S.L.P.",187.4
-99.146111,21.8225,SLP,TNCSL,"TanchachÌn, S.L.P.",83.3
-110.226111,29.825,SON,ACNSO,"Aconchi, Son.",0
-109.887778,27.75,SON,AGCSO,"Agua Caliente, Son.",0
-108.937778,27.021667,SON,ALMSO,"¡lamos, Son.",0
-111.733333,30.716667,SON,ALTSO,"Observatorio de Altar, Son.",0
-109.8925,27.8225,SON,AOBSO,"¡lvaro ObregÛn, Son.",0
-109.106667,27.226111,SON,ARCSO,"Adolfo RuÌz CortÌnes, Son.",0
-109.088611,30.07,SON,ARISO,"Aribabi, Son.",0
-110.92,29.076667,SON,ARLSO,"Abelardo RodrÌguez Luj·n, Son.",0
-110.1675,30.335833,SON,ARZSO,"Arizpe, Son.",0
-110.238611,30.598889,SON,BCNSO,"Bacanuchi, Son.",0
-108.931667,30.355278,SON,BCRSO,"Bacerac, Son.",0
-108.860833,27.421667,SON,BICSO,"Bicentenario, Son. SGT*",0
-109.625,27.416667,SON,CCRSO,"Cocoraque, Son.",0
-111.516389,30.873333,SON,CHTSO,"CuauhtÈmoc, Son.",0
-110.736389,29.472222,SON,CJNSO,"El CajÛn, Son.",0
-110.290833,30.98,SON,CNNSO,"Cananea, Son.",0
-109.938056,27.5,SON,COBSO,"Observatorio de Ciudad ObregÛn, Son.",0
-108.7625,26.603611,SON,CZNSO,"Cazanate, Son.",0
-109.233333,29.2,SON,ECBSO,"El Cubil, Son.",8.5
-110.8,27.95,SON,EMPALMEob,"Observatorio de Empalme, Son. SMN*",0.4
-110.8,27.95,SON,EPLSO,"Observatorio de Empalme, Son.",0
-110.85,27.95,SON,GYMSO,"Guaymas, Son.",0
-110.916667,29.066667,SON,HM2SO,"Observatorio de Hermosillo, Son.",0
-110.925833,29.073056,SON,HMNSO,"Hermosillo, Son.",0
-108.957222,30.210556,SON,HSHSO,"Huachinera, Son.",0
-110.886944,30.761667,SON,IMRSO,"Imuris, Son.",0
-110.396944,28.426389,SON,IRASO,"Ignacio R. Alatorre, Son.",0
-109.378889,30.437778,SON,LCDSO,"L·zaro C·rdenas, Son.",0
-109.6875,30.374444,SON,NCZSO,"Observatorio de Nacozari, Son.",0
-110.947222,31.318889,SON,NGLSO,"Nogales, Son.",0
-110.913889,31.297778,SON,NOGALES,"Nogales, Son. SMN*",0
-109.443333,27.071944,SON,NVJSO,"Navojoa, Son.",0
-112.85,31.866667,SON,NYNSO,"Sonoyta, Son.",0
-109.930556,27.372222,SON,OBOSO,"Observatorio Cd. ObregÛn, Son. SMN*",0
-110.706111,29.229722,SON,ORGSO,"El OrÈgano, Son.",0
-109.083333,29.433333,SON,PDNSO,"Paso N·cori, Son.",7.9
-109.642222,28.976667,SON,PECSO,"Plutarco ElÌas Calles, Son.",0
-113.304722,31.68,SON,PINACATE,"El Pinacate, Son. SMN*",0
-110.725556,29.2125,SON,PMOSO,"Ing. Rodolfo FÈlix ValdÈs, Son.",0
-113.550833,31.352778,SON,PT2SO,"Observatorio de Puerto PeÒasco, Son.",0
-110.308333,28.472222,SON,PTASO,"Punta de Agua 2, Son.",0
-112.116667,30.697778,SON,PTQSO,"Pitiquito, Son.",0
-111.021389,30.050556,SON,QRBSO,"Querobabi, Son.",0
-108.876667,27.411944,SON,SBNSO,"San Bernardo, Son.",0
-114.783333,32.483333,SON,SLCSO,"San Luis RÌo Colorado, Son.",0
-111.445278,30.394722,SON,SRSSO,"Santa Rosa 2, Son.",0
-109.5,29.534722,SON,TPCSO,"Tepache, Son.",0
-109.2125,27.658333,SON,TSOSO,"Tesocoma, Son.",0
-110.289722,27.643611,SON,VCMSO,"VÌcam, Son.",0
-108.927778,28.371389,SON,YCRSO,"YÈcora, Son.",0
-92.426667,17.8125,TAB,BALANCAN,"Balanc·n, Tab. ProtecciÛn Civil*",57.8
